version,date,diff,field_check_m,logger_val_m,Site_ID
depth_avg,2021-12-13T00:00:00Z,0.15872517411701437,0.45,0.29127482588298564,5_560
depth_avg,2022-10-12T00:00:00Z,-0.010234499335929098,0.14,0.1502344993359291,5_560
depth_avg,2023-10-30T00:00:00Z,-0.039553899713860474,0.3,0.33955389971386046,5_560
depth_avg,2024-04-15T00:00:00Z,0.008858925293608322,0.47,0.46114107470639165,5_560
revised_depth,2021-12-13T00:00:00Z,0.075391840783681,0.45,0.374608159216319,5_560
revised_depth,2022-10-12T00:00:00Z,-0.09356783266926247,0.14,0.23356783266926248,5_560
revised_depth,2023-10-30T00:00:00Z,-0.12288723304719384,0.3,0.42288723304719383,5_560
revised_depth,2024-04-15T00:00:00Z,-0.07447440803972505,0.47,0.544474408039725,5_560
original_depth,2021-10-20T00:00:00Z,0.08435979235594887,0.19,0.10564020764405113,5_573
original_depth,2022-10-12T00:00:00Z,-0.030048161598299206,0.1,0.1300481615982992,5_573
original_depth,2023-10-30T00:00:00Z,0.09185148339993658,0.16,0.06814851660006342,5_573
original_depth,2024-04-09T00:00:00Z,0.02606460105482189,0.21,0.1839353989451781,5_573
depth_avg,2021-10-20T00:00:00Z,0.15769312568928232,0.19,0.03230687431071769,5_573
depth_avg,2022-10-12T00:00:00Z,0.04328517173503411,0.1,0.0567148282649659,5_573
depth_avg,2023-10-30T00:00:00Z,0.04518481673326996,0.16,0.11481518326673004,5_573
depth_avg,2024-04-09T00:00:00Z,-6.02065611844671e-4,0.21,0.21060206561184466,5_573
revised_depth,2021-10-20T00:00:00Z,0.08435979235594895,0.19,0.10564020764405105,5_573
revised_depth,2022-10-12T00:00:00Z,-0.03004816159829926,0.1,0.13004816159829927,5_573
revised_depth,2023-10-30T00:00:00Z,-0.0281485166000634,0.16,0.1881485166000634,5_573
revised_depth,2024-04-09T00:00:00Z,-0.07393539894517806,0.21,0.28393539894517805,5_573
original_depth,2021-09-27T00:00:00Z,NA,0.49,NA,5_597
original_depth,2021-12-13T00:00:00Z,0.06211647927428077,0.52,0.45788352072571925,5_597
original_depth,2022-10-17T00:00:00Z,-0.07799063234490133,0.32,0.39799063234490134,5_597
